SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
1,ANDAMAN & NICOBAR ISLANDS,1951,82.70,7.20,0.00,45.40,259.00,619.90,665.30,101.30,360.90,489.00,209.60,434.80,3275.10,89.90,304.40,1747.40,1133.40
2,ARUNACHAL PRADESH,1951,31.80,65.30,309.90,441.00,344.50,757.80,554.70,278.50,383.70,101.80,46.20,39.10,3354.30,97.10,1095.40,1974.70,187.10
3,ASSAM & MEGHALAYA,1951,4.50,2.90,54.60,230.00,270.60,688.40,665.90,444.40,241.50,302.20,46.30,5.40,2956.70,7.40,555.20,2040.20,353.90
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1951,3.90,0.20,62.40,360.10,233.70,495.00,436.20,440.50,191.10,310.60,54.90,20.80,2609.40,4.10,656.20,1562.80,386.30
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1951,1.00,0.50,22.70,69.30,239.80,546.50,778.30,503.70,326.10,158.00,37.30,0.00,2683.20,1.50,331.80,2154.60,195.30
6,GANGETIC WEST BENGAL,1951,0.00,0.40,62.10,13.10,67.40,180.70,253.50,260.30,200.10,140.00,36.00,0.40,1214.00,0.40,142.60,894.60,176.40
7,ORISSA,1951,2.20,0.00,89.70,37.10,48.00,172.50,339.10,349.50,165.50,155.60,37.10,0.00,1396.30,2.20,174.80,1026.60,192.70
8,JHARKHAND,1951,5.10,0.40,48.90,24.20,25.10,177.50,259.10,267.00,186.10,69.20,9.00,0.00,1071.60,5.50,98.20,889.70,78.20
9,BIHAR ,1951,7.30,1.50,5.80,8.20,22.90,144.20,307.30,204.20,114.50,28.70,4.70,0.10,849.40,8.80,36.90,770.20,33.50
10,EAST UTTAR PRADESH,1951,27.40,10.90,21.60,6.10,2.50,114.40,139.20,247.40,168.30,12.70,2.00,0.10,752.60,38.30,30.20,669.30,14.80
11,WEST UTTAR PRADESH,1951,16.40,8.20,34.70,6.80,11.60,31.30,141.30,251.70,197.90,6.40,18.60,0.00,724.90,24.60,53.10,622.20,25.00
12,UTTARANCHAL,1951,53.90,41.70,46.90,30.60,61.50,73.90,199.90,402.10,203.10,13.90,43.80,0.10,1171.40,95.60,139.00,879.00,57.80
13,"HARYANA, DELHI & CHANDIGARH",1951,8.30,0.40,33.60,11.90,9.00,18.20,52.50,136.10,36.50,0.20,26.70,0.00,333.40,8.70,54.50,243.30,26.90
14,PUNJAB ,1951,23.90,4.30,53.50,10.40,21.50,5.10,207.80,122.20,12.50,1.90,34.50,1.90,499.50,28.20,85.40,347.60,38.30
15,HIMACHAL PRADESH,1951,112.30,69.40,87.40,90.40,89.10,38.80,217.30,309.30,124.50,19.30,69.60,11.10,1238.50,181.70,266.90,689.90,100.00
16,JAMMU & KASHMIR,1951,104.00,96.50,117.80,86.90,91.30,62.80,118.70,159.90,26.30,22.10,25.20,31.80,943.30,200.50,296.00,367.70,79.10
17,WEST RAJASTHAN ,1951,0.10,0.00,6.40,5.10,16.40,20.20,33.60,83.30,0.80,0.20,13.80,0.00,179.90,0.10,27.90,137.90,14.00
18,EAST  RAJASTHAN ,1951,2.00,0.00,6.40,2.80,8.10,51.00,98.20,158.00,19.30,0.70,19.10,0.00,365.60,2.00,17.30,326.50,19.80
