Crop,Season,Sowing Period,Harvesting Period
Arecanut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Banana,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Black pepper,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cashewnut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Coconut,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Dry chillies,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Ginger,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
other oilseeds,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Rice,Kharif,"['June', 'July']","['October', 'November']"
Sugarcane,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Sweet potato,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Tapioca,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Turmeric,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Arhar/Tur,Kharif,"['June', 'July']","['October', 'November']"
Arhar/Tur,Rabi,"['October', 'November', 'December']","['March', 'April']"
Bajra,Rabi,"['October', 'November', 'December']","['March', 'April']"
Bajra,Kharif,"['June', 'July']","['October', 'November']"
Castor seed,Kharif,"['June', 'July']","['October', 'November']"
Coriander,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Cotton(lint),Kharif,"['June', 'July']","['October', 'November']"
Dry chillies,Kharif,"['June', 'July']","['October', 'November']"
Dry chillies,Rabi,"['October', 'November', 'December']","['March', 'April']"
Gram,Kharif,"['June', 'July']","['October', 'November']"
Gram,Rabi,"['October', 'November', 'December']","['March', 'April']"
Groundnut,Kharif,"['June', 'July']","['October', 'November']"
Groundnut,Rabi,"['October', 'November', 'December']","['March', 'April']"
Horse-gram,Kharif,"['June', 'July']","['October', 'November']"
Horse-gram,Rabi,"['October', 'November', 'December']","['March', 'April']"
Jowar,Kharif,"['June', 'July']","['October', 'November']"
Jowar,Rabi,"['October', 'November', 'December']","['March', 'April']"
Linseed,Rabi,"['October', 'November', 'December']","['March', 'April']"
Maize,Kharif,"['June', 'July']","['October', 'November']"
Maize,Rabi,"['October', 'November', 'December']","['March', 'April']"
Mesta,Kharif,"['June', 'July']","['October', 'November']"
Moong(Green Gram),Kharif,"['June', 'July']","['October', 'November']"
Moong(Green Gram),Rabi,"['October', 'November', 'December']","['March', 'April']"
Niger seed,Kharif,"['June', 'July']","['October', 'November']"
Onion,Rabi,"['October', 'November', 'December']","['March', 'April']"
Onion,Kharif,"['June', 'July']","['October', 'November']"
Other Rabi pulses,Rabi,"['October', 'November', 'December']","['March', 'April']"
Other Kharif pulses,Kharif,"['June', 'July']","['October', 'November']"
Potato,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Ragi,Kharif,"['June', 'July']","['October', 'November']"
Ragi,Rabi,"['October', 'November', 'December']","['March', 'April']"
Rapeseed &Mustard,Rabi,"['October', 'November', 'December']","['March', 'April']"
Rice,Rabi,"['October', 'November', 'December']","['March', 'April']"
Safflower,Rabi,"['October', 'November', 'December']","['March', 'April']"
Sesamum,Kharif,"['June', 'July']","['October', 'November']"
Sesamum,Rabi,"['October', 'November', 'December']","['March', 'April']"
Small millets,Kharif,"['June', 'July']","['October', 'November']"
Small millets,Rabi,"['October', 'November', 'December']","['March', 'April']"
Soyabean,Kharif,"['June', 'July']","['October', 'November']"
Sunflower,Kharif,"['June', 'July']","['October', 'November']"
Sunflower,Rabi,"['October', 'November', 'December']","['March', 'April']"
Sunflower,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Tobacco,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Urad,Kharif,"['June', 'July']","['October', 'November']"
Urad,Rabi,"['October', 'November', 'December']","['March', 'April']"
Wheat,Rabi,"['October', 'November', 'December']","['March', 'April']"
Oilseeds total,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Jute,Kharif,"['June', 'July']","['October', 'November']"
Masoor,Rabi,"['October', 'November', 'December']","['March', 'April']"
Onion,Whole Year,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']","['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
Peas & beans (Pulses),Rabi,"['October', 'November', 'December']","['March', 'April']"
Rice,Autumn,"['September', 'October']","['November', 'December']"
Rice,Summer,"['February', 'March']","['May', 'June']"
Rice,Winter,"['October', 'November']","['February', 'March']"
Barley,Rabi,"['October', 'November', 'December']","['March', 'April']"
