State,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,SEP,Year
Andaman and Nicobar Islands,2762.6,43.4,301.1,285.5,0.0,18.9,348.4,471.0,21.5,229.6,302.6,306.2,434.4,2005
Andhra Pradesh,1119.0500000000002,28.8,110.1,37.2,8.649999999999999,2.6,141.6,68.45,7.75,57.7,96.15,334.0,226.05,2005
Arunachal Pradesh,2542.4,204.6,362.7,3.7,133.5,52.6,594.6,282.9,248.0,181.8,25.1,152.4,300.5,2005
Assam,2314.8,200.8,445.4,0.9,34.3,24.9,439.9,350.2,195.3,251.8,8.4,219.2,143.7,2005
Bihar,913.7,7.0,336.7,1.0,14.2,15.6,272.9,85.7,12.8,19.3,4.8,38.2,105.5,2005
Chandigarh,586.9,4.3,54.8,0.0,38.9,17.2,198.1,59.7,39.4,9.4,1.3,0.0,163.8,2005
Chhattisgarh,1305.1,9.4,261.5,0.2,24.2,53.7,351.5,197.9,5.9,29.8,0.5,100.7,269.8,2005
Dadra and Nagar Haveli,1385.4,0.0,246.2,0.0,0.0,0.0,384.5,402.4,0.0,0.1,0.0,1.1,351.1,2005
Daman and Diu,638.6,0.2,63.3,0.0,0.0,0.0,141.5,193.7,0.0,0.2,0.0,1.2,238.5,2005
Delhi,586.9,4.3,54.8,0.0,38.9,17.2,198.1,59.7,39.4,9.4,1.3,0.0,163.8,2005
Goa,3557.5,1.7,750.3,0.0,0.1,0.1,1316.9,724.7,0.0,1.5,0.0,53.9,708.3,2005
Gujarat,1012.0,0.1,154.75,0.0,0.0,0.0,263.0,298.04999999999995,0.0,0.15000000000000002,0.0,1.15,294.8,2005
Haryana,586.9,4.3,54.8,0.0,38.9,17.2,198.1,59.7,39.4,9.4,1.3,0.0,163.8,2005
Himachal Pradesh,996.4,14.3,88.9,0.0,127.9,67.3,365.6,52.8,89.1,34.3,0.1,1.3,154.8,2005
Jammu and Kashmir,1309.8,60.3,105.6,0.4,363.7,151.0,251.7,28.6,173.3,73.0,18.4,13.3,70.5,2005
Jharkhand,859.4,3.9,215.2,11.7,25.0,22.0,254.6,111.6,17.3,15.3,1.4,38.3,143.1,2005
Karnataka,1829.3000000000002,80.13333333333333,315.3333333333333,4.0,2.0333333333333337,6.133333333333333,559.2666666666668,353.5333333333333,3.966666666666667,59.70000000000001,32.23333333333333,178.4,234.5666666666667,2005
Kerala,3151.0,202.9,301.4,62.5,6.6,18.7,877.1,634.9,25.8,137.3,202.0,250.5,431.3,2005
Lakshadweep,1579.0,37.1,102.4,27.3,11.0,17.6,381.9,248.8,0.0,92.7,218.1,164.2,277.9,2005
Madhya Pradesh,1158.8000000000002,3.74,228.44,1.9,7.24,27.36,542.5,122.47999999999999,16.4,5.66,0.84,13.18,189.06,2005
Maharashtra,1074.5333333333333,6.766666666666667,196.53333333333333,0.7333333333333334,6.7,26.066666666666666,366.93333333333334,134.13333333333333,7.533333333333332,4.266666666666667,0.0,78.93333333333334,245.9333333333333,2005
Manipur,1612.4,82.8,266.7,10.3,23.7,4.2,256.4,167.1,162.9,218.6,9.3,170.1,240.3,2005
Meghalaya,2314.8,200.8,445.4,0.9,34.3,24.9,439.9,350.2,195.3,251.8,8.4,219.2,143.7,2005
Mizoram,1612.4,82.8,266.7,10.3,23.7,4.2,256.4,167.1,162.9,218.6,9.3,170.1,240.3,2005
Nagaland,1612.4,82.8,266.7,10.3,23.7,4.2,256.4,167.1,162.9,218.6,9.3,170.1,240.3,2005
Odisha,1549.7,23.1,199.0,7.5,4.9,31.3,414.0,204.8,27.0,44.7,13.3,220.1,360.0,2005
Puducherry,1314.0,126.4,80.6,153.3,11.8,3.2,72.4,27.2,28.7,77.9,347.8,270.6,114.1,2005
Punjab,603.5,6.6,86.5,0.0,61.8,45.0,200.3,47.5,35.2,9.1,0.3,0.4,110.8,2005
Rajasthan,510.27,7.359999999999999,66.27,0.0,6.0,0.9199999999999999,216.88,61.56999999999999,7.799999999999999,8.11,0.09,0.0,135.26999999999998,2005
Sikkim,2670.8,153.1,515.6,0.4,24.8,22.4,627.9,406.3,122.3,244.4,5.9,285.3,262.4,2005
Tamil Nadu,1314.0,126.4,80.6,153.3,11.8,3.2,72.4,27.2,28.7,77.9,347.8,270.6,114.1,2005
Telangana,1230.8,10.5,145.8,1.8,7.3,36.5,397.6,99.6,22.0,11.1,2.3,180.8,315.5,2005
Tripura,1612.4,82.8,266.7,10.3,23.7,4.2,256.4,167.1,162.9,218.6,9.3,170.1,240.3,2005
Uttar Pradesh,798.02,1.7,183.5,2.38,15.5,13.04,310.21999999999997,64.72,15.84,9.280000000000001,0.16000000000000003,11.02,170.66000000000003,2005
Uttarakhand,1469.3,3.9,250.6,2.1,82.3,34.9,541.6,94.2,32.2,19.1,2.9,18.3,387.2,2005
West Bengal,2128.1000000000004,106.1,377.25,2.95,19.1,25.049999999999997,485.0,291.4,101.1,162.55,4.15,314.15,239.29999999999998,2005
Rajasthan,606.84,0.37,284.65999999999997,0.46,0.0,0.06,160.89999999999998,64.41999999999999,9.51,12.409999999999998,0.03,2.69,71.33,2005
Andaman and Nicobar Islands,2447.9,172.0,219.7,74.7,14.1,16.4,187.3,367.4,48.6,342.5,76.5,378.4,550.3,2006
Andhra Pradesh,821.9000000000001,32.55,115.5,11.3,0.0,0.3,67.95,104.4,38.75,68.75,93.2,144.95,160.35,2006
Arunachal Pradesh,2108.0,195.8,228.3,22.9,131.7,4.8,417.5,350.9,33.8,201.0,123.4,88.8,309.1,2006
Assam,1777.4,163.0,190.6,8.4,45.2,0.6,335.5,399.3,16.3,272.9,19.5,82.4,243.7,2006
Bihar,1000.5,14.8,154.0,0.5,0.0,0.0,298.1,177.7,5.9,42.0,2.5,22.0,283.0,2006
Chandigarh,377.1,1.6,35.8,3.9,0.3,2.2,147.6,54.9,39.3,33.6,2.0,3.6,52.3,2006
Chhattisgarh,1231.5,41.1,438.6,0.1,0.0,0.0,383.5,74.8,37.2,46.5,18.0,14.1,177.6,2006
Dadra and Nagar Haveli,1458.0,0.0,614.7,0.0,0.0,0.0,575.9,120.7,0.4,0.0,1.1,7.7,137.5,2006
Daman and Diu,702.9,0.0,196.0,0.6,0.0,0.0,368.7,64.4,1.8,0.0,0.2,0.5,70.7,2006
Delhi,377.1,1.6,35.8,3.9,0.3,2.2,147.6,54.9,39.3,33.6,2.0,3.6,52.3,2006
Goa,3378.9,0.0,919.9,0.0,0.0,0.0,1065.5,612.8,2.9,184.9,7.3,196.2,389.4,2006
Gujarat,1080.45,0.0,405.35,0.3,0.0,0.0,472.29999999999995,92.55000000000001,1.1,0.0,0.65,4.1,104.1,2006
Haryana,377.1,1.6,35.8,3.9,0.3,2.2,147.6,54.9,39.3,33.6,2.0,3.6,52.3,2006
Himachal Pradesh,895.8,26.4,206.9,35.1,32.7,66.3,219.6,84.7,66.9,51.4,11.6,14.8,79.4,2006
Jammu and Kashmir,1477.3,58.6,207.1,131.4,90.1,225.7,189.8,77.7,125.9,44.9,73.6,46.7,205.8,2006
Jharkhand,1356.0,13.7,280.5,0.0,0.0,0.0,438.2,179.4,23.3,84.1,4.0,13.0,319.8,2006
Karnataka,1814.9666666666665,14.033333333333333,339.56666666666666,0.3666666666666667,0.0,0.2333333333333333,440.43333333333334,365.40000000000003,21.933333333333334,211.16666666666666,73.0,115.03333333333335,233.80000000000004,2006
Kerala,3297.7,73.0,396.4,1.9,0.6,9.0,569.4,577.1,80.1,521.2,213.0,374.8,481.2,2006
Lakshadweep,1695.4,0.3,150.7,10.8,0.0,23.1,172.6,286.5,44.0,411.3,158.7,119.2,318.2,2006
Madhya Pradesh,1060.8,9.32,390.14,0.16000000000000003,0.0,0.0,376.15999999999997,64.96000000000001,50.08,21.22,6.5600000000000005,5.42,136.78,2006
Maharashtra,1092.2,9.9,356.3,0.0,0.0,0.0,274.43333333333334,138.7,27.599999999999998,19.666666666666668,8.566666666666666,49.73333333333333,207.29999999999998,2006
Manipur,1561.6,124.5,178.8,2.7,12.8,0.4,273.6,341.0,3.6,317.6,11.6,75.4,219.6,2006
Meghalaya,1777.4,163.0,190.6,8.4,45.2,0.6,335.5,399.3,16.3,272.9,19.5,82.4,243.7,2006
Mizoram,1561.6,124.5,178.8,2.7,12.8,0.4,273.6,341.0,3.6,317.6,11.6,75.4,219.6,2006
Nagaland,1561.6,124.5,178.8,2.7,12.8,0.4,273.6,341.0,3.6,317.6,11.6,75.4,219.6,2006
Odisha,1810.0,31.7,645.0,0.0,0.0,0.3,468.8,177.0,37.8,111.0,31.9,28.0,278.5,2006
Puducherry,911.9,34.4,66.3,27.4,0.2,15.5,19.9,53.2,56.5,59.8,212.6,257.1,109.0,2006
Punjab,544.6,1.4,106.7,8.4,2.7,9.2,172.0,59.1,38.2,26.6,7.7,13.9,98.7,2006
Sikkim,2304.5,112.8,313.2,5.6,11.5,0.2,507.2,419.0,31.6,293.6,19.2,123.6,467.0,2006
Tamil Nadu,911.9,34.4,66.3,27.4,0.2,15.5,19.9,53.2,56.5,59.8,212.6,257.1,109.0,2006
Telangana,1044.6,47.6,290.8,0.0,0.0,0.0,146.5,103.6,47.2,49.5,38.7,31.6,289.1,2006
